startDice, runs, increaseCount, decreaseCount, refillBool
6,14,0,4,1
8,26,2,8,1
10,207,19,27,1
12,155,6,16,1
6,11,0,4,1
8,55,4,10,1
10,211,15,23,1
12,220,14,24,1
6,13,0,4,1
8,31,2,8,1
10,94,13,21,1
12,375,29,39,1
6,133,12,16,1
8,134,13,19,1
10,55,4,12,1
12,410,28,38,1
6,22,3,7,1
8,85,7,13,1
10,83,6,14,1
12,179,10,20,1
6,15,0,4,1
8,53,6,12,1
10,205,20,28,1
12,84,10,20,1
6,20,1,5,1
8,129,13,19,1
10,216,15,23,1
12,174,9,19,1
6,41,1,5,1
8,73,2,8,1
10,480,33,41,1
12,671,59,69,1
6,24,1,5,1
8,39,3,9,1
10,256,17,25,1
12,361,24,34,1
6,17,2,6,1
8,32,0,6,1
10,140,10,18,1
12,304,24,34,1
6,42,3,7,1
8,81,6,12,1
10,267,26,34,1
12,252,19,29,1
6,31,1,5,1
8,55,2,8,1
10,108,6,14,1
12,203,17,27,1
6,5,0,4,1
8,64,4,10,1
10,187,16,24,1
12,685,58,68,1
6,20,1,5,1
8,67,7,13,1
10,95,3,11,1
12,314,24,34,1
6,39,1,5,1
8,100,9,15,1
10,167,13,21,1
12,103,3,13,1
6,22,2,6,1
8,104,8,14,1
10,314,29,37,1
12,99,7,17,1
6,20,2,6,1
8,24,0,6,1
10,34,0,8,1
12,70,5,15,1
6,18,0,4,1
8,86,7,13,1
10,174,15,23,1
12,339,24,34,1
6,68,4,8,1
8,77,4,10,1
10,131,12,20,1
12,71,4,14,1
6,9,0,4,1
8,14,0,6,1
10,14,0,8,1
12,329,15,25,1
6,36,2,6,1
8,30,2,8,1
10,327,28,36,1
12,517,32,42,1
6,46,3,7,1
8,76,1,7,1
10,185,10,18,1
12,163,10,20,1
6,38,2,6,1
8,136,12,18,1
10,108,7,15,1
12,103,4,14,1
6,19,1,5,1
8,70,8,14,1
10,268,17,25,1
12,247,18,28,1
6,49,1,5,1
8,79,6,12,1
10,180,15,23,1
12,174,12,22,1
6,54,5,9,1
8,65,2,8,1
10,83,5,13,1
12,117,4,14,1
6,6,0,4,1
8,128,9,15,1
10,73,6,14,1
12,229,16,26,1
6,12,0,4,1
8,76,7,13,1
10,101,4,12,1
12,131,10,20,1
6,34,2,6,1
8,146,11,17,1
10,202,14,22,1
12,297,23,33,1
6,33,5,9,1
8,72,4,10,1
10,323,22,30,1
12,438,36,46,1
6,47,1,5,1
8,112,9,15,1
10,190,12,20,1
12,224,15,25,1
6,97,9,13,1
8,89,7,13,1
10,100,9,17,1
12,162,13,23,1
6,38,4,8,1
8,97,9,15,1
10,298,22,30,1
12,310,18,28,1
6,18,1,5,1
8,53,4,10,1
10,50,4,12,1
12,206,11,21,1
6,39,4,8,1
8,101,7,13,1
10,189,10,18,1
12,154,9,19,1
6,47,3,7,1
8,93,8,14,1
10,221,16,24,1
12,247,13,23,1
6,48,4,8,1
8,33,3,9,1
10,208,17,25,1
12,425,34,44,1
6,22,1,5,1
8,85,5,11,1
10,21,0,8,1
12,770,65,75,1
6,40,3,7,1
8,82,7,13,1
10,68,4,12,1
12,238,19,29,1
6,17,2,6,1
8,64,4,10,1
10,181,12,20,1
12,436,24,34,1
6,17,1,5,1
8,89,5,11,1
10,71,4,12,1
12,249,17,27,1
6,28,1,5,1
8,123,13,19,1
10,293,25,33,1
12,251,17,27,1
6,32,3,7,1
8,163,16,22,1
10,79,5,13,1
12,224,16,26,1
6,24,3,7,1
8,70,1,7,1
10,309,25,33,1
12,169,12,22,1
6,16,0,4,1
8,134,8,14,1
10,204,21,29,1
12,1000,90,97,1
6,9,0,4,1
8,164,11,17,1
10,510,39,47,1
12,310,21,31,1
6,17,1,5,1
8,52,3,9,1
10,85,5,13,1
12,468,36,46,1
6,21,2,6,1
8,44,3,9,1
10,271,30,38,1
12,495,37,47,1
6,29,2,6,1
8,103,8,14,1
10,69,4,12,1
12,270,17,27,1
6,66,4,8,1
8,44,4,10,1
10,284,28,36,1
12,232,20,30,1
6,21,1,5,1
8,36,2,8,1
10,106,5,13,1
12,170,14,24,1
6,21,1,5,1
8,75,7,13,1
10,492,45,53,1
12,273,17,27,1
6,19,1,5,1
8,121,8,14,1
10,147,12,20,1
12,298,22,32,1
6,32,2,6,1
8,63,3,9,1
10,230,21,29,1
12,171,9,19,1
6,54,4,8,1
8,61,4,10,1
10,188,14,22,1
12,381,37,47,1
6,32,2,6,1
8,93,8,14,1
10,341,21,29,1
12,165,10,20,1
6,18,2,6,1
8,39,2,8,1
10,269,25,33,1
12,419,31,41,1
6,44,1,5,1
8,95,9,15,1
10,166,8,16,1
12,258,15,25,1
6,6,0,4,1
8,59,7,13,1
10,191,13,21,1
12,240,17,27,1
6,50,2,6,1
8,158,12,18,1
10,253,19,27,1
12,237,15,25,1
6,23,2,6,1
8,75,10,16,1
10,265,17,25,1
12,265,15,25,1
6,60,4,8,1
8,81,6,12,1
10,149,10,18,1
12,157,13,23,1
6,20,1,5,1
8,51,3,9,1
10,45,5,13,1
12,401,21,31,1
6,57,4,8,1
8,33,3,9,1
10,292,26,34,1
12,487,39,49,1
6,13,1,5,1
8,68,4,10,1
10,87,8,16,1
12,558,40,50,1
6,16,1,5,1
8,50,6,12,1
10,221,15,23,1
12,60,2,12,1
6,24,1,5,1
8,75,6,12,1
10,277,20,28,1
12,375,26,36,1
6,4,0,4,1
8,61,9,15,1
10,186,18,26,1
12,579,52,62,1
6,20,2,6,1
8,108,10,16,1
10,216,12,20,1
12,448,34,44,1
6,57,4,8,1
8,172,15,21,1
10,139,9,17,1
12,64,2,12,1
6,35,3,7,1
8,154,11,17,1
10,111,9,17,1
12,131,7,17,1
6,42,1,5,1
8,54,4,10,1
10,125,8,16,1
12,208,12,22,1
6,15,0,4,1
8,170,18,24,1
10,220,20,28,1
12,197,12,22,1
6,36,2,6,1
8,124,6,12,1
10,148,19,27,1
12,285,25,35,1
6,47,5,9,1
8,45,3,9,1
10,223,20,28,1
12,112,7,17,1
6,13,2,6,1
8,100,11,17,1
10,194,17,25,1
12,94,5,15,1
6,27,3,7,1
8,115,6,12,1
10,179,9,17,1
12,206,16,26,1
6,21,2,6,1
8,82,3,9,1
10,106,8,16,1
12,276,26,36,1
6,16,0,4,1
8,49,2,8,1
10,107,9,17,1
12,403,27,37,1
6,70,5,9,1
8,83,9,15,1
10,63,4,12,1
12,162,12,22,1
6,24,1,5,1
8,85,4,10,1
10,113,5,13,1
12,331,20,30,1
6,86,6,10,1
8,19,2,8,1
10,43,2,10,1
12,179,11,21,1
6,10,0,4,1
8,27,2,8,1
10,107,10,18,1
12,108,9,19,1
6,22,1,5,1
8,155,16,22,1
10,152,15,23,1
12,115,2,12,1
6,50,1,5,1
8,74,8,14,1
10,134,10,18,1
12,158,12,22,1
6,18,1,5,1
8,43,2,8,1
10,106,6,14,1
12,406,25,35,1
6,9,0,4,1
8,59,4,10,1
10,233,13,21,1
12,550,36,46,1
6,15,0,4,1
8,126,4,10,1
10,58,6,14,1
12,58,0,10,1
6,16,3,7,1
8,109,5,11,1
10,188,17,25,1
12,148,10,20,1
6,26,3,7,1
8,24,0,6,1
10,97,9,17,1
12,81,4,14,1
6,12,0,4,1
8,216,23,29,1
10,216,16,24,1
12,152,12,22,1
